Date	Total volume
9/13/2017	97
9/14/2017	118
9/15/2017	102
9/16/2017	141
9/17/2017	84
9/18/2017	93
9/19/2017	115
9/20/2017	82
9/21/2017	110
9/22/2017	123
9/23/2017	114
9/24/2017	108
9/25/2017	85
9/26/2017	111
9/27/2017	108
9/28/2017	99
9/29/2017	110
9/30/2017	151
10/1/2017	112
10/2/2017	135
10/3/2017	111
10/4/2017	104
10/5/2017	125
10/6/2017	114
10/7/2017	119
10/8/2017	134
10/9/2017	115
10/10/2017	98
10/11/2017	105
10/12/2017	128
10/13/2017	103
10/14/2017	108
10/15/2017	105
10/16/2017	98
10/17/2017	109
10/18/2017	115
10/19/2017	103
10/20/2017	117
10/21/2017	133
10/22/2017	112
10/23/2017	110
10/24/2017	127
10/25/2017	114
10/26/2017	109
10/27/2017	135
10/28/2017	138
10/29/2017	116
10/30/2017	140
10/31/2017	113
11/1/2017	93
11/2/2017	136
11/3/2017	120
11/4/2017	123
11/5/2017	102
11/6/2017	113
11/7/2017	115
11/8/2017	112
11/9/2017	116
11/10/2017	149
11/11/2017	124
11/12/2017	88
11/13/2017	127
11/14/2017	121
11/15/2017	118
11/16/2017	134
11/17/2017	135
11/18/2017	169
11/19/2017	127
11/20/2017	119
11/21/2017	155
11/22/2017	132
11/23/2017	15
11/24/2017	109
11/25/2017	151
11/26/2017	136
11/27/2017	142
11/28/2017	131
11/29/2017	133
11/30/2017	139
12/1/2017	140
12/2/2017	178
12/3/2017	139
12/4/2017	123
12/5/2017	148
12/6/2017	136
12/7/2017	135
12/8/2017	135
12/9/2017	145
12/10/2017	117
12/11/2017	123
12/12/2017	143
12/13/2017	132
12/14/2017	109
12/15/2017	155
12/16/2017	144
12/17/2017	112
12/18/2017	122
12/19/2017	140
12/20/2017	146
12/21/2017	176
12/22/2017	120
12/23/2017	146
12/24/2017	105
12/25/2017	0
12/26/2017	141
12/27/2017	149
12/28/2017	158
12/29/2017	152
12/30/2017	141
12/31/2017	119
1/1/2018	99
1/2/2018	144
1/3/2018	150
1/4/2018	127
1/5/2018	152
1/6/2018	162
1/7/2018	139
1/8/2018	141
1/9/2018	143
1/10/2018	145
1/11/2018	132
1/12/2018	136
1/13/2018	167
1/14/2018	148
