Date	Total volume	Day	Month	Quarter	Year	YearQTR
1/24/2017	118	Tuesday	1	Q1	2017	201701
1/25/2017	121	Wednesday	1	Q1	2017	201701
1/26/2017	131	Thursday	1	Q1	2017	201701
1/27/2017	132	Friday	1	Q1	2017	201701
1/28/2017	174	Saturday	1	Q1	2017	201701
1/29/2017	112	Sunday	1	Q1	2017	201701
1/30/2017	142	Monday	1	Q1	2017	201701
1/31/2017	150	Tuesday	1	Q1	2017	201701
2/1/2017	146	Wednesday	2	Q1	2017	201701
2/2/2017	125	Thursday	2	Q1	2017	201701
2/3/2017	121	Friday	2	Q1	2017	201701
2/4/2017	166	Saturday	2	Q1	2017	201701
2/5/2017	115	Sunday	2	Q1	2017	201701
2/6/2017	121	Monday	2	Q1	2017	201701
2/7/2017	114	Tuesday	2	Q1	2017	201701
2/8/2017	116	Wednesday	2	Q1	2017	201701
2/9/2017	132	Thursday	2	Q1	2017	201701
2/10/2017	145	Friday	2	Q1	2017	201701
2/11/2017	153	Saturday	2	Q1	2017	201701
2/12/2017	126	Sunday	2	Q1	2017	201701
2/13/2017	109	Monday	2	Q1	2017	201701
2/14/2017	109	Tuesday	2	Q1	2017	201701
2/15/2017	105	Wednesday	2	Q1	2017	201701
2/16/2017	117	Thursday	2	Q1	2017	201701
2/17/2017	137	Friday	2	Q1	2017	201701
2/18/2017	154	Saturday	2	Q1	2017	201701
2/19/2017	118	Sunday	2	Q1	2017	201701
2/20/2017	120	Monday	2	Q1	2017	201701
2/21/2017	144	Tuesday	2	Q1	2017	201701
2/22/2017	154	Wednesday	2	Q1	2017	201701
2/23/2017	153	Thursday	2	Q1	2017	201701
2/24/2017	155	Friday	2	Q1	2017	201701
2/25/2017	171	Saturday	2	Q1	2017	201701
2/26/2017	150	Sunday	2	Q1	2017	201701
2/27/2017	162	Monday	2	Q1	2017	201701
2/28/2017	148	Tuesday	2	Q1	2017	201701
3/1/2017	123	Wednesday	3	Q1	2017	201701
3/2/2017	162	Thursday	3	Q1	2017	201701
3/3/2017	176	Friday	3	Q1	2017	201701
3/4/2017	162	Saturday	3	Q1	2017	201701
3/5/2017	168	Sunday	3	Q1	2017	201701
3/6/2017	143	Monday	3	Q1	2017	201701
3/7/2017	132	Tuesday	3	Q1	2017	201701
3/8/2017	156	Wednesday	3	Q1	2017	201701
3/9/2017	130	Thursday	3	Q1	2017	201701
3/10/2017	149	Friday	3	Q1	2017	201701
3/11/2017	161	Saturday	3	Q1	2017	201701
3/12/2017	115	Sunday	3	Q1	2017	201701
3/13/2017	150	Monday	3	Q1	2017	201701
3/14/2017	93	Tuesday	3	Q1	2017	201701
3/15/2017	136	Wednesday	3	Q1	2017	201701
3/16/2017	145	Thursday	3	Q1	2017	201701
3/17/2017	145	Friday	3	Q1	2017	201701
3/18/2017	136	Saturday	3	Q1	2017	201701
3/19/2017	132	Sunday	3	Q1	2017	201701
3/20/2017	137	Monday	3	Q1	2017	201701
3/21/2017	145	Tuesday	3	Q1	2017	201701
3/22/2017	114	Wednesday	3	Q1	2017	201701
3/23/2017	132	Thursday	3	Q1	2017	201701
3/24/2017	180	Friday	3	Q1	2017	201701
3/25/2017	162	Saturday	3	Q1	2017	201701
3/26/2017	142	Sunday	3	Q1	2017	201701
3/27/2017	130	Monday	3	Q1	2017	201701
3/28/2017	134	Tuesday	3	Q1	2017	201701
3/29/2017	114	Wednesday	3	Q1	2017	201701
3/30/2017	141	Thursday	3	Q1	2017	201701
3/31/2017	150	Friday	3	Q1	2017	201701
4/1/2017	158	Saturday	4	Q2	2017	201702
4/2/2017	149	Sunday	4	Q2	2017	201702
4/3/2017	176	Monday	4	Q2	2017	201702
4/4/2017	140	Tuesday	4	Q2	2017	201702
4/5/2017	138	Wednesday	4	Q2	2017	201702
4/6/2017	132	Thursday	4	Q2	2017	201702
4/7/2017	163	Friday	4	Q2	2017	201702
4/8/2017	161	Saturday	4	Q2	2017	201702
4/9/2017	89	Sunday	4	Q2	2017	201702
4/10/2017	130	Monday	4	Q2	2017	201702
4/11/2017	109	Tuesday	4	Q2	2017	201702
4/12/2017	140	Wednesday	4	Q2	2017	201702
4/13/2017	104	Thursday	4	Q2	2017	201702
4/14/2017	143	Friday	4	Q2	2017	201702
4/15/2017	156	Saturday	4	Q2	2017	201702
4/16/2017	1	Sunday	4	Q2	2017	201702
4/17/2017	108	Monday	4	Q2	2017	201702
4/18/2017	145	Tuesday	4	Q2	2017	201702
4/19/2017	111	Wednesday	4	Q2	2017	201702
4/20/2017	103	Thursday	4	Q2	2017	201702
4/21/2017	109	Friday	4	Q2	2017	201702
4/22/2017	132	Saturday	4	Q2	2017	201702
4/23/2017	110	Sunday	4	Q2	2017	201702
4/24/2017	123	Monday	4	Q2	2017	201702
4/25/2017	107	Tuesday	4	Q2	2017	201702
4/26/2017	117	Wednesday	4	Q2	2017	201702
4/27/2017	104	Thursday	4	Q2	2017	201702
4/28/2017	138	Friday	4	Q2	2017	201702
4/29/2017	121	Saturday	4	Q2	2017	201702
4/30/2017	137	Sunday	4	Q2	2017	201702
5/1/2017	130	Monday	5	Q2	2017	201702
5/2/2017	134	Tuesday	5	Q2	2017	201702
5/3/2017	134	Wednesday	5	Q2	2017	201702
5/4/2017	109	Thursday	5	Q2	2017	201702
5/5/2017	129	Friday	5	Q2	2017	201702
5/6/2017	133	Saturday	5	Q2	2017	201702
5/7/2017	102	Sunday	5	Q2	2017	201702
5/8/2017	125	Monday	5	Q2	2017	201702
5/9/2017	119	Tuesday	5	Q2	2017	201702
5/10/2017	89	Wednesday	5	Q2	2017	201702
5/11/2017	112	Thursday	5	Q2	2017	201702
5/12/2017	157	Friday	5	Q2	2017	201702
5/13/2017	141	Saturday	5	Q2	2017	201702
5/14/2017	84	Sunday	5	Q2	2017	201702
5/15/2017	115	Monday	5	Q2	2017	201702
5/16/2017	143	Tuesday	5	Q2	2017	201702
5/17/2017	119	Wednesday	5	Q2	2017	201702
5/18/2017	114	Thursday	5	Q2	2017	201702
5/19/2017	141	Friday	5	Q2	2017	201702
5/20/2017	129	Saturday	5	Q2	2017	201702
5/21/2017	92	Sunday	5	Q2	2017	201702
5/22/2017	128	Monday	5	Q2	2017	201702
5/23/2017	103	Tuesday	5	Q2	2017	201702
5/24/2017	104	Wednesday	5	Q2	2017	201702
5/25/2017	103	Thursday	5	Q2	2017	201702
5/26/2017	122	Friday	5	Q2	2017	201702
5/27/2017	138	Saturday	5	Q2	2017	201702
5/28/2017	95	Sunday	5	Q2	2017	201702
5/29/2017	99	Monday	5	Q2	2017	201702
5/30/2017	117	Tuesday	5	Q2	2017	201702
5/31/2017	118	Wednesday	5	Q2	2017	201702
6/1/2017	123	Thursday	6	Q2	2017	201702
6/2/2017	118	Friday	6	Q2	2017	201702
6/3/2017	150	Saturday	6	Q2	2017	201702
6/4/2017	137	Sunday	6	Q2	2017	201702
